Frequency (MHz),Peak (dBuV),Average (dBuV)
0.59504,2.40,2.32
0.60071,4.27,-6.79
0.60357,2.24,1.75
0.60932,2.97,3.05
0.61513,3.94,1.67
0.61805,2.07,1.67
0.62099,3.62,-6.46
0.62394,3.62,2.24
0.62691,2.40,2.48
0.62989,1.75,1.34
0.63892,-6.87,-6.71
0.64196,2.56,2.07
0.64501,2.56,2.07
0.65736,2.97,-7.03
0.66679,3.86,-6.87
0.66996,2.56,2.72
0.67314,1.91,1.59
0.67956,2.89,-6.87
0.68279,2.32,2.24
0.68930,4.51,-7.20
0.69258,3.13,3.29
0.69587,3.05,-6.79
0.69918,3.05,-6.79
0.70250,2.64,-6.87
0.70584,2.64,-7.44
0.70920,-6.95,-6.87
0.71596,1.75,1.26
0.71936,1.42,1.26
0.72278,1.75,-7.11
0.72622,1.75,-7.28
0.73314,2.48,-7.36
0.73663,2.48,0.85
0.74013,3.29,0.85
0.74365,3.29,0.69
0.74719,4.76,0.69
0.76150,2.56,-7.85
0.76512,2.56,-7.93
0.77978,1.18,0.45
0.78348,1.75,1.10
0.78721,1.18,1.10
0.79095,2.32,-7.20
0.79471,1.59,-8.25
0.79849,-7.68,-7.76
0.80229,3.37,3.46
0.80610,4.92,3.29
0.82154,3.29,-8.17
0.82545,3.29,-8.33
0.84928,1.18,-7.76
0.85332,2.40,-7.60
0.86555,1.67,-7.76
0.87380,2.64,-7.93
0.88213,1.26,0.61
0.89054,1.83,-7.60
0.89477,1.83,0.85
0.89903,1.91,2.07
0.90330,3.37,1.26
0.90759,3.37,1.18
0.91191,0.53,-8.50
0.91625,0.53,-8.41
0.92060,2.64,0.12
0.92498,2.64,0.20
0.93380,0.04,-0.61
0.93824,0.20,-0.61
0.94270,0.20,0.12
0.95168,1.10,0.77
0.95621,1.59,0.12
0.96076,0.77,0.12
0.96532,0.53,0.12
0.96991,0.53,0.12
0.97453,0.53,0.20
0.97916,1.67,-0.69
0.98381,1.67,-0.69
0.98849,0.61,-8.66
0.99319,0.61,-8.09
0.99792,2.07,-8.09
1.00266,2.07,-8.25
1.00743,0.69,0.45
1.01703,2.32,-8.09
1.02187,2.32,-8.90
1.02673,1.75,-0.45
1.03161,0.12,-0.45
1.03651,1.02,0.61
1.04144,0.45,-0.45
1.04639,2.97,-0.45
1.06139,2.32,-8.74
1.06644,0.77,0.45
1.07151,0.53,-0.69
1.07660,0.20,-0.69
1.08172,1.67,-8.41
1.08686,1.67,-8.82
1.09203,1.50,-8.90
1.10768,0.04,-8.33
1.11295,1.83,-8.33
1.11824,1.83,-8.58
1.12356,1.34,0.12
1.12890,1.34,-8.33
1.13427,1.18,-8.33
1.13966,1.18,-8.41
1.14508,-0.45,-0.61
1.15053,0.77,-0.61
1.15600,0.77,-0.53
1.16149,2.48,-0.53
1.16701,2.48,-8.09
1.17256,1.59,1.67
1.18374,2.07,-0.85
1.18937,-0.77,-0.85
1.19502,0.77,-0.20
1.20071,-8.74,-8.82
1.20642,0.93,-7.36
1.22952,0.45,0.20
1.23537,0.28,-8.82
1.24124,1.26,-8.98
1.25308,0.20,-0.12
1.25903,-8.74,-0.61
1.26502,-0.61,-1.10
1.27104,2.64,-1.10
1.27708,2.64,-9.55
1.28315,1.50,-0.53
1.28925,1.50,-0.53
1.29538,1.42,-9.15
1.30154,1.42,-8.90
1.32647,-0.28,-0.93
1.33278,0.37,-1.42
1.33912,-0.28,-0.12
1.35831,-0.20,-0.45
1.36477,0.20,-9.31
1.37126,0.53,-0.69
1.37778,0.20,-0.69
1.38433,-0.28,-0.93
1.39091,-0.28,-1.02
1.39752,1.83,-1.02
1.40417,-0.45,-0.77
1.41085,0.04,-0.53
1.41755,-0.20,-0.45
1.42429,-0.20,-0.45
1.43107,0.20,-0.20
1.43787,0.20,-0.53
1.44471,0.12,-0.53
1.45158,-0.20,-0.93
1.45848,-0.85,-0.93
1.47238,-0.37,-1.10
1.47938,-0.37,-1.10
1.48642,0.28,-0.85
