Frequency (MHz),Peak (dBuV),Average (dBuV)
53.39514,12.07,8.82
53.64902,12.64,9.80
53.90411,13.54,9.23
54.16041,13.54,9.23
54.41793,12.07,9.80
54.67668,12.07,9.31
54.93665,12.48,9.31
55.19786,12.48,9.72
55.46032,12.48,9.80
55.72402,12.48,1.83
55.98898,11.83,2.80
56.25519,12.64,9.55
56.52267,13.13,9.55
56.79142,13.13,9.72
57.06146,12.07,1.99
57.33277,12.15,10.28
57.60538,12.89,9.63
57.87928,12.89,9.63
58.15448,11.99,2.07
58.43099,12.72,9.80
58.70882,12.72,9.80
58.98797,12.32,1.83
59.26844,12.32,10.20
59.55025,12.32,1.75
59.83340,12.64,1.75
60.11789,12.64,1.99
60.40374,12.40,1.99
60.69095,12.56,1.83
60.97952,12.56,9.88
61.26946,12.40,9.88
61.56078,12.40,10.12
61.85349,12.48,10.12
62.14759,12.97,9.63
62.44309,12.97,1.83
62.73999,12.97,9.63
63.03831,12.97,9.55
63.33804,12.24,9.55
63.63920,13.37,2.15
63.94179,13.37,1.67
64.24582,12.56,1.75
64.55129,12.56,9.80
64.85822,12.48,9.80
65.16661,12.40,9.88
65.47646,13.78,2.56
65.78779,13.78,9.63
66.10059,12.48,9.63
66.41489,12.48,2.07
66.73068,13.70,1.91
67.04797,13.70,1.83
67.36676,12.24,10.61
67.68708,12.72,10.28
68.00892,12.72,1.91
68.33228,12.07,9.88
68.65719,12.07,9.88
68.98364,12.56,1.91
69.31164,12.56,1.99
69.64120,12.89,1.99
69.97233,12.89,1.99
70.30503,12.07,1.99
70.63932,12.40,2.07
70.97519,12.40,10.12
71.31266,12.24,12.32
71.65174,12.40,9.39
71.99243,12.40,9.63
72.33474,12.32,9.63
72.67867,12.56,1.75
73.02424,13.37,1.75
73.37146,13.46,1.91
73.72032,13.46,9.88
74.07085,12.64,9.88
74.42304,12.07,2.15
74.77690,13.46,3.86
75.13245,13.46,3.86
75.48969,13.37,1.99
75.84863,13.37,1.99
76.20927,12.24,10.37
76.57163,12.89,9.88
76.93571,12.89,9.88
77.30152,12.56,9.80
77.66907,11.67,9.80
78.03837,12.32,1.91
78.40943,12.89,9.55
78.78225,12.89,9.23
79.15684,12.32,9.23
79.53321,12.89,1.83
79.91138,12.89,9.39
80.29134,13.21,9.31
80.67310,12.40,9.31
81.05669,11.67,9.55
81.44209,11.10,9.55
81.82933,10.53,1.83
88.70138,10.37,9.63
89.12314,10.37,9.63
89.54690,10.93,1.75
89.97268,11.10,1.75
90.40048,11.10,9.72
90.83031,11.42,9.15
91.26219,11.59,9.07
91.69612,11.91,9.07
92.13211,11.91,9.72
92.57018,12.32,9.72
93.01033,12.32,9.80
93.45258,12.48,9.80
93.89692,12.48,10.37
94.34338,12.80,9.47
94.79196,12.80,9.23
95.24268,12.56,9.23
95.69554,12.40,9.80
96.15055,12.72,9.80
96.60772,12.72,9.39
97.06707,12.32,9.39
97.52860,12.32,9.72
97.99233,12.32,9.80
98.45826,12.32,9.80
98.92641,12.24,9.80
99.39678,12.48,2.72
99.86939,11.75,2.72
100.34425,11.75,10.12
100.82137,11.75,2.15
101.30075,11.59,2.32
101.78241,10.93,9.72
102.26637,10.20,9.72
