Frequency (MHz),Peak (dBuV)
11.61778,44.77
11.64622,44.77
11.67473,44.48
11.70331,44.20
11.73196,44.20
11.76068,44.20
11.81833,43.21
11.84726,43.21
11.87627,43.21
11.90534,43.07
11.93448,42.93
11.96370,42.22
11.99299,42.22
12.02234,42.22
12.05178,42.22
12.08128,42.08
12.11085,42.22
12.14050,42.22
12.17022,42.22
12.20001,42.22
12.22988,42.22
12.25982,42.08
12.28983,40.10
12.31991,39.25
12.35007,39.25
12.38031,39.25
12.41061,41.37
12.44099,41.65
12.47145,41.51
12.50198,41.51
12.53258,41.23
12.56326,41.23
12.59402,41.23
12.62485,40.38
12.65575,40.38
12.68674,40.38
12.71779,40.38
12.74893,40.10
12.78013,39.25
12.81142,39.39
12.84278,39.39
12.87422,39.53
12.90574,39.53
12.93733,40.10
12.96900,40.10
13.00075,40.10
13.03258,40.10
13.06448,40.10
13.09646,39.82
13.12852,39.11
13.16066,38.40
13.19288,38.26
13.22517,38.26
13.25755,37.27
13.29000,38.26
13.32254,38.54
13.35515,38.68
13.38784,38.40
13.42062,38.26
13.45347,38.26
13.48640,38.26
13.51942,38.40
13.55251,38.54
13.58569,38.40
13.61895,36.99
13.65229,36.42
13.68571,36.28
13.71921,35.43
13.75279,35.57
13.78646,35.57
13.82021,35.43
13.85404,35.15
13.88796,34.30
13.92195,34.44
13.95604,34.87
13.99020,34.87
14.02445,32.74
14.05878,32.32
14.09319,32.32
14.12769,32.46
14.16228,32.46
14.19695,32.46
14.23170,35.29
14.26654,35.29
14.30147,35.15
14.33648,34.30
14.37157,30.34
14.40675,30.48
14.44202,30.76
14.47737,30.91
14.51282,30.91
14.54834,30.91
14.58396,30.48
14.61966,30.34
14.65545,30.20
14.69132,29.49
14.72729,29.49
14.76334,29.49
14.79948,29.49
14.83571,29.49
14.87203,30.34
14.90843,29.49
14.94493,29.49
14.98151,28.36
15.01819,28.36
15.05495,28.36
15.09181,28.36
15.12875,28.22
15.16579,27.37
15.20291,27.23
15.24013,27.23
15.27744,27.09
15.31484,26.38
15.35233,26.24
15.38991,26.24
15.42758,26.24
15.46535,25.11
15.50321,25.11
15.54116,25.25
15.57921,25.39
15.61734,26.24
15.65558,26.24
15.69390,26.24
15.73232,26.24
15.77083,26.24
15.80944,25.53
15.84814,25.39
15.88694,25.39
15.92583,25.39
15.96481,26.38
16.00389,28.50
16.04307,28.93
16.08235,28.93
16.12171,26.52
16.16118,26.38
16.20074,27.37
16.24040,28.64
16.28016,29.21
16.32001,29.21
16.35996,28.78
16.40001,27.51
16.44016,28.50
16.48041,29.49
16.52075,29.49
16.56119,29.49
16.60173,29.35
16.64237,28.50
16.68311,28.50
16.72395,28.50
16.76490,29.35
16.80594,29.35
16.84708,29.35
16.88832,29.35
16.92966,29.35
16.97110,29.35
17.01265,28.50
17.05430,28.50
17.09604,29.07
17.13790,29.92
17.17985,30.20
17.22191,30.20
17.26406,30.06
17.30633,29.35
17.34869,29.35
17.39116,29.49
17.43374,29.77
17.47641,29.92
17.51920,30.06
17.56208,29.49
17.60507,29.35
17.64817,29.35
17.69137,29.21
17.73468,29.21
17.77810,29.21
17.82162,29.21
17.86524,29.21
17.90898,29.21
17.95282,28.50
17.99677,28.22
18.04082,28.08
18.08499,28.08
18.12926,27.93
18.17364,25.39
18.21813,25.53
18.26273,25.53
18.30743,24.96
18.35225,24.96
18.39718,24.68
18.44221,24.54
18.48736,26.24
18.53262,25.53
18.57798,25.39
18.62346,24.96
18.66905,24.96
18.71475,24.96
18.76057,25.53
18.80649,25.53
18.85253,25.67
18.89868,25.81
18.94495,27.37
18.99132,27.37
19.03781,27.37
19.08442,25.53
19.13114,25.39
19.17797,25.39
19.22492,25.39
19.27198,28.36
19.31916,28.36
19.36645,28.36
19.41386,27.65
19.46138,27.51
19.50903,27.51
19.55678,28.08
19.60466,28.36
19.65265,28.50
19.70076,28.50
19.74899,28.50
19.79733,28.50
19.84580,28.64
19.89438,28.78
19.94308,28.93
19.99190,28.93
20.04084,28.64
20.08990,27.51
20.13908,27.51
20.18838,27.51
20.23780,27.65
20.28734,27.79
20.33701,27.79
20.38679,28.50
20.43670,28.50
20.48673,28.50
20.53688,28.50
20.58715,26.38
20.63755,26.38
20.68807,26.38
20.73871,26.38
20.78948,26.38
20.84038,26.38
20.89139,26.38
20.94253,26.52
20.99380,26.80
21.04519,26.80
21.09671,26.66
21.14836,26.38
21.20013,23.55
21.25203,23.69
21.30405,23.83
21.35620,23.83
21.40848,23.97
21.46089,25.25
21.51343,26.38
21.56609,26.38
21.61888,24.40
21.67181,23.83
21.72486,23.83
21.77804,23.83
21.83136,23.69
21.88480,26.24
21.93837,26.38
21.99208,26.38
22.04591,26.52
22.09988,27.37
22.15398,27.37
22.20821,26.52
22.26258,25.53
22.31708,25.53
22.37171,25.39
22.42648,25.11
22.48138,25.11
22.53641,24.96
22.59158,24.68
22.64688,24.54
22.70232,24.40
22.75790,23.41
22.81361,23.27
22.86946,23.41
22.92544,23.55
22.98156,23.41
23.03782,22.56
23.09422,23.41
23.15075,23.55
23.20742,22.56
23.26424,22.56
23.32119,22.56
23.37828,22.56
23.43551,23.55
23.49288,23.69
23.55039,23.83
23.60804,23.83
23.66583,23.83
23.72376,23.83
23.78184,23.55
23.84006,24.54
23.89842,24.40
23.95692,22.42
24.01557,22.42
24.07436,22.42
24.13329,23.41
24.19237,22.56
24.25159,22.56
24.31096,23.41
24.37047,24.82
24.43013,24.82
24.48994,24.54
24.54989,24.54
24.60999,24.54
24.67023,23.55
24.73062,23.69
24.79116,23.83
24.85185,23.97
24.91269,24.40
24.97368,24.40
25.03481,24.40
25.09610,23.55
25.15753,23.69
25.21912,24.96
25.28085,25.11
25.34274,25.25
25.40478,27.37
25.46697,27.51
25.52931,29.49
25.59181,29.63
25.65446,29.77
25.71726,29.77
25.78021,29.63
25.84332,29.49
25.90659,29.49
25.97001,29.49
26.03358,29.49
26.09731,29.63
26.16120,30.76
26.22524,32.46
26.28944,32.60
26.35380,32.60
26.41831,32.46
26.48298,35.29
26.54781,32.46
26.61280,32.32
26.67795,32.32
26.74326,32.32
26.80872,32.32
26.87435,30.20
26.94014,29.92
27.00609,29.92
27.07220,29.92
27.13847,29.92
27.20491,31.33
27.27150,31.47
27.33826,31.47
27.40519,32.04
27.47228,32.32
27.53953,32.46
27.60694,32.32
27.67453,32.32
27.74227,32.32
27.81019,32.32
27.87826,32.46
27.94651,32.60
28.01492,34.58
28.08350,34.58
28.15225,34.44
28.22117,36.28
28.29025,36.28
28.35951,37.55
28.42893,37.84
28.49853,37.84
28.56829,37.98
28.63822,38.12
28.70833,38.26
28.77861,38.26
28.84906,37.41
28.91968,37.69
28.99048,37.69
29.06144,37.55
29.13259,37.27
29.20390,37.27
29.27539,37.41
29.34706,37.69
29.41890,37.69
29.49092,36.42
29.56311,36.14
29.63548,33.31
29.70803,33.31
29.78075,32.32
