Frequency (MHz),Peak (dBuV),Average (dBuV)
0.47387,4.69,-3.42
0.47613,5.22,-3.55
0.47839,6.02,-3.55
0.48066,6.55,-3.69
0.48295,6.55,-3.95
0.48525,5.09,-3.95
0.48755,4.96,-3.95
0.48987,4.56,-4.08
0.49220,4.16,-4.08
0.49454,4.03,-4.22
0.49689,5.35,-4.75
0.49925,6.15,-4.35
0.50163,6.95,-3.69
0.50401,6.95,-3.29
0.50641,6.82,-3.29
0.50882,6.55,-3.42
0.51124,6.55,-4.48
0.51367,6.15,-4.75
0.51611,5.75,-4.88
0.51856,4.96,-4.62
0.52103,4.96,-4.48
0.52351,4.16,-4.62
0.52600,5.22,-4.75
0.52850,5.22,-4.62
0.53101,4.42,-4.62
0.53354,5.89,-4.62
0.53607,5.89,-4.75
0.53862,3.63,-5.01
0.54118,5.35,-5.15
0.54376,5.35,-5.01
0.54634,3.89,-5.15
0.54894,3.89,-5.41
0.55155,3.76,-5.15
0.55417,3.36,-5.15
0.55681,3.49,-5.28
0.55945,5.09,-5.01
0.56211,5.09,-5.01
0.56479,4.42,-5.41
0.56747,4.82,-5.28
0.57017,4.82,-5.28
0.57288,3.76,-5.41
0.57560,4.03,-5.41
0.57834,4.03,-5.41
0.58109,3.76,-5.28
0.58385,3.89,-5.15
0.58663,3.89,-5.15
0.58942,4.03,-4.75
0.59222,4.69,-4.75
0.59504,4.69,-4.88
0.59787,4.03,-5.28
0.60071,4.03,-5.41
0.60357,2.70,-5.95
0.60644,3.23,-5.55
0.60932,3.36,-5.55
0.61222,4.69,-5.28
0.61513,4.69,-5.28
0.61805,3.23,-5.95
0.62099,4.16,-5.95
0.62394,4.69,-5.41
0.62691,4.69,-5.41
0.62989,4.16,-5.68
0.63289,4.16,-5.68
0.63590,3.49,-5.41
0.63892,3.49,-5.41
0.64196,4.16,-5.15
0.64501,4.16,-5.15
0.64808,3.23,-5.41
0.65116,3.89,-5.41
0.65425,4.69,-5.41
0.65736,4.69,-5.41
0.66049,3.09,-5.81
0.66363,3.49,-5.81
0.66679,3.49,-5.95
0.66996,3.63,-5.81
0.67314,3.89,-5.68
0.67634,3.89,-5.68
0.67956,3.49,-5.55
0.68279,4.16,-5.55
0.68604,4.16,-5.68
0.68930,3.63,-5.68
0.69258,4.16,-5.95
0.69587,4.16,-6.08
0.69918,3.76,-5.95
0.70250,3.49,-5.95
0.70584,2.83,-5.95
0.70920,3.09,-5.95
0.71257,3.09,-6.08
0.71596,3.23,-5.95
0.71936,3.23,-6.08
0.72278,4.96,-5.81
0.72622,4.96,-5.81
0.72967,4.82,-5.95
0.73314,4.82,-5.68
0.73663,4.82,-5.68
0.74013,3.49,-5.95
0.74365,3.23,-6.08
0.74719,3.23,-6.21
0.75074,4.56,-5.68
0.75431,4.56,-5.68
0.75789,3.89,-6.34
0.76150,3.89,-5.81
0.76512,3.89,-5.68
0.76876,3.89,-5.81
0.77241,4.42,-6.34
0.77609,4.42,-6.08
0.77978,2.43,-6.08
0.78348,2.43,-6.21
0.78721,3.76,-6.74
0.79095,3.76,-6.74
0.79471,6.15,-3.29
0.79849,15.46,1.37
0.80229,17.45,14.00
0.80610,17.45,15.86
0.80993,17.19,4.16
0.81379,15.46,2.03
0.81766,2.70,-6.34
0.82154,2.70,-6.61
0.82545,5.49,-6.21
0.82937,5.49,-6.21
0.83332,3.09,-6.34
0.83728,3.23,-6.08
0.84126,3.23,-5.95
0.84526,2.96,-6.08
0.84928,2.16,-6.48
0.85332,3.09,-6.21
0.85738,3.09,-6.21
0.86145,2.43,-6.34
0.86555,2.56,-6.48
0.86966,3.23,-5.81
0.87380,4.96,-5.81
0.87795,4.96,-6.08
0.88213,2.96,-6.34
0.88632,2.03,-6.48
0.89054,2.43,-7.14
0.89477,3.49,-6.48
0.89903,3.49,-6.21
0.90330,4.03,-5.95
0.90759,4.03,-5.95
0.91191,2.83,-6.34
0.91625,3.49,-6.48
0.92060,3.49,-5.81
0.92498,3.49,-5.81
0.92938,3.09,-5.95
0.93380,3.09,-6.08
0.93824,3.09,-6.61
0.94270,3.76,-5.68
0.94718,3.76,-5.68
0.95168,3.36,-6.21
0.95621,3.36,-6.88
0.96076,3.23,-6.88
0.96532,3.63,-6.08
0.96991,3.63,-6.08
0.97453,3.23,-6.08
0.97916,2.96,-6.61
0.98381,2.96,-6.88
0.98849,3.36,-6.34
0.99319,3.36,-6.21
0.99792,2.43,-6.34
1.00266,2.43,-6.88
1.00743,2.30,-7.01
1.01222,3.09,-5.55
1.01703,3.09,-5.55
1.02187,3.36,-6.61
1.02673,3.36,-6.74
1.03161,3.76,-6.34
1.03651,3.76,-6.21
1.04144,2.83,-6.21
1.04639,2.43,-7.01
1.05137,3.23,-6.61
1.05637,3.49,-6.48
1.06139,3.49,-6.48
1.06644,3.49,-6.74
1.07151,3.49,-6.74
1.07660,3.49,-6.61
1.08172,3.49,-6.61
1.08686,2.83,-6.74
1.09203,2.43,-6.88
1.09722,2.56,-6.74
1.10244,3.36,-6.74
1.10768,3.36,-6.74
1.11295,2.43,-6.74
1.11824,2.56,-6.34
1.12356,2.56,-6.34
1.12890,1.90,-7.14
1.13427,1.50,-7.27
1.13966,1.90,-6.48
1.14508,2.43,-6.48
1.15053,3.63,-7.01
1.15600,3.63,-7.01
1.16149,2.16,-7.01
1.16701,2.56,-7.01
1.17256,2.56,-7.14
1.17814,2.56,-7.01
1.18374,2.70,-6.48
1.18937,2.70,-6.48
1.19502,2.56,-7.01
1.20071,21.31,2.16
1.20642,21.97,8.01
1.21215,21.97,4.29
1.21792,17.58,1.77
1.22371,2.83,-6.48
1.22952,2.56,-6.48
1.23537,3.23,-6.61
1.24124,3.23,-7.01
1.24715,2.56,-5.95
1.25308,2.56,-5.95
1.25903,3.49,-6.74
1.26502,3.49,-5.81
1.27104,2.96,-5.81
1.27708,2.96,-6.48
1.28315,2.70,-6.88
1.28925,3.36,-5.68
1.29538,3.49,-5.68
1.30154,3.49,-6.21
1.30773,2.96,-5.95
1.31395,4.56,-5.41
1.32020,4.56,-5.41
1.32647,2.96,-6.34
1.33278,4.03,-5.15
1.33912,4.03,-5.15
1.34548,3.36,-5.68
1.35188,3.36,-5.55
